Temps(s);Force(kN);Contrainte(Mpa);Ouverture vanne (%);Consigne.Consigne;Consigne.Vitesse
87,237294;589,6890664;59,00855704;19,16090673;590,5191652;5,99596834
87,437333;591,0465422;59,1443959;19,19774515;591,7190124;5,99596834
87,637328;591,9215029;59,2319508;19,23461548;592,9181461;5,99596834
87,837348;593,378426;59,37774108;19,27194756;594,11701;5,99596834
88,03727;594,3406578;59,47402896;19,30896682;595,3165455;5,99596834
88,237348;595,7242332;59,61247952;19,34668393;596,5157091;5,99596834
88,439642;597,1671256;59,75686578;19,38383085;597,7147589;5,99596834
88,637253;598,3170496;59,8719355;19,42009231;598,9139166;5,99596834
88,837702;598,7674628;59,91700711;19,45725514;600,1130023;5,99596834
89,037319;599,9862834;60,03897113;19,49606233;601,3125738;5,99596834
89,253398;601,8830108;60,2287714;19,53471219;602,5117794;5,99596834
89,452345;603,1255418;60,35310805;19,57547443;603,8310244;5,99596834
89,652345;603,5862087;60,39920571;19,61325949;605,0296424;5,99596834
89,852279;604,3071128;60,4713446;19,65250819;606,2291299;5,99596834
90,053544;606,0909183;60,64984509;19,69322196;607,4322929;5,99596834
90,25228;606,1204043;60,65279567;19,7338155;608,6275652;5,99596834
90,452299;605,9598919;60,63673364;19,77670965;609,8268068;5,99596834
90,652318;605,0656826;60,54725257;19,82431096;611,0260305;5,99596834
90,852322;600,9935959;60,1397701;19,87996691;612,2248404;5,99596834
91,052318;568,3799431;56,8762119;18,38356729;613,4238962;5,99596834
